"Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Promo rebates - ","Promo rebates - Shipping","Other - Shipping","Amazon fees - FBA Order Handling Fee","Amazon fees - Shipping Chargeback","Amazon fees - FBA transportation fee"
-$2.00,18-Apr-16,108-5087027-1856213,9G-CDVH-T2B4,"Order Payment","Product charges",,$3.98,2,"DecoPac How to Train Your Dragon 2 Hiccup and Friends Cupcake Rings (12 Count)",,,,,,,,
-$2.55,18-Apr-16,107-2182773-1293019,2H-FGMO-4THC,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Forrest Green)",,,,,,,,
-$9.00,18-Apr-16,104-1102082-2466646,BQ-4FEP-C3OH,"Order Payment","Product charges",,$59.98,2,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$8.18,-$7.24,$0.00,-$6.49,$6.49,,,
-$4.50,18-Apr-16,113-7492529-8437847,Q0-OA97-BH2V,"Order Payment","Product charges",,$29.98,2,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",-$2.12,-$1.00,$0.00,-$2.08,$2.08,-$1.00,,
-$6.00,18-Apr-16,109-0423078-3013065,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,$10.02,,-$10.02,
-$6.75,18-Apr-16,105-7259317-6757065,Q3-3IFR-V1ZN,"Order Payment","Product charges",,$44.99,1,"Humanscale Zon Air Purifier in White",-$4.09,-$8.30,$0.00,,,,,
-$9.00,18-Apr-16,115-6274552-3122627,BQ-4FEP-C3OH,"Order Payment","Product charges",,$59.98,2,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$8.18,-$7.24,,,,,,
-$4.50,17-Apr-16,109-0121144-2902679,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$9.00,17-Apr-16,115-9041282-6193023,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$8.18,-$7.24,,,,,,
-$4.50,17-Apr-16,110-4715282-5600209,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$4.50,17-Apr-16,112-2687052-8376241,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$4.50,17-Apr-16,102-6352905-4540269,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,17-Apr-16,106-5518689-7312255,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,$0.00,-$2.52,$2.52,,,
-$6.00,16-Apr-16,102-7704372-4426658,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$3.00,16-Apr-16,116-2389148-0332234,32-P5XA-EGJY,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (teal)",-$1.06,-$0.96,,,,-$1.00,,
-$3.75,16-Apr-16,002-1733708-3913026,7W-PCJO-3BVK,"Order Payment","Product charges",,$24.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",-$1.06,-$0.96,,,$5.55,-$1.00,-$5.55,
-$4.50,16-Apr-16,102-2615444-6303452,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,$0.00,-$2.64,$2.64,,,
-$9.00,16-Apr-16,112-9474491-0359463,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$8.18,-$7.24,,,$8.10,,-$8.10,
-$1.65,16-Apr-16,102-2625447-7898612,0W-I967-F2HV,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",-$1.06,-$2.34,,,,-$1.00,,
-$4.50,16-Apr-16,111-4433925-7505808,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$4.50,15-Apr-16,112-3883320-6572244,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$4.50,15-Apr-16,113-2214241-8808250,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$6.00,15-Apr-16,103-0132155-9720201,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$1.34,15-Apr-16,113-2318044-6174645,FV-XXFT-7P69,"Order Payment","Product charges",,$8.95,1,"My Little Pony Soft Tote Lunch Box",-$1.06,-$0.96,,,,-$1.00,,
-$6.00,15-Apr-16,116-0110993-7633060,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$1.78,15-Apr-16,114-6142881-4133860,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",-$1.06,-$1.95,,,,-$1.00,,
-$4.50,15-Apr-16,116-1352687-9673861,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,$0.00,-$2.41,$2.41,,,
-$4.50,15-Apr-16,114-7390862-5412234,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$9.00,15-Apr-16,106-1641826-8950614,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$8.18,-$7.24,$0.00,-$6.49,$6.49,,,
-$1.78,15-Apr-16,103-6192935-3165032,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",-$1.06,-$1.95,,,,-$1.00,,
-$4.50,15-Apr-16,116-7808227-6080234,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$4.50,14-Apr-16,103-9446428-5886665,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,$3.99,,-$3.99,
-$1.65,14-Apr-16,002-0867450-2476206,0W-I967-F2HV,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",-$1.06,-$2.34,,,,-$1.00,,
-$9.00,14-Apr-16,114-9622816-7733018,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$8.18,-$7.24,,,,,,
-$3.00,14-Apr-16,109-5228117-6941058,3G-5P9S-KWAT,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)",-$1.06,-$0.96,,,,-$1.00,,
-$8.10,14-Apr-16,110-8782757-9256217,K3-C2EG-MXOE,"Order Payment","Product charges",,$53.94,6,"Xtreme Cables MFI 8 Pin 3ft Flat Tangle Free Sync & Charge Cable (Red)",-$6.36,-$5.76,,,,-$1.00,,
-$2.25,14-Apr-16,106-1205567-4332218,IID-VCY-8DP,"Order Payment","Product charges",,$14.99,1,"Smartekå¨ Rechargeable Fabric Defuzzer Cloth Shaver Black Cord/Cordless",-$1.06,-$0.96,,,,-$1.00,,
-$4.50,14-Apr-16,106-8594184-9595419,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$6.00,14-Apr-16,102-2986139-1593833,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,$6.99,,-$6.99,
-$4.50,14-Apr-16,110-8445485-3705051,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$1.34,14-Apr-16,110-6055476-6266668,FV-XXFT-7P69,"Order Payment","Product charges",,$8.95,1,"My Little Pony Soft Tote Lunch Box",-$1.06,-$0.96,$0.00,,$3.64,-$1.00,-$3.64,
,,,,,,,,,,-$0.75,,,,,-$4.75,,-$0.45
-$4.50,14-Apr-16,111-8154218-2074654,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,13-Apr-16,106-4870555-0285811,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$2.55,13-Apr-16,002-2594876-4319437,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",-$1.06,-$0.96,,,,-$1.00,,
-$4.50,13-Apr-16,112-9257509-1099430,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,$3.99,,-$3.99,
-$7.50,13-Apr-16,103-0285446-8858631,VO6-KH8-U2Q,"Order Payment","Product charges",,$49.99,1,"Oster 8-Speed Blender",,,,,,,,
-$6.00,13-Apr-16,112-1783078-8033856,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$2.55,13-Apr-16,114-3404032-7843416,2H-FGMO-4THC,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Forrest Green)",,,,,,,,
-$1.00,13-Apr-16,115-6036581-9785859,NC-MU4S-M0SS,"Order Payment","Product charges",,$5.99,1,"Cuispro Snap-Fit Pop Molds: 6 Rocket and 6 Boat shapes",,,,,,,,
-$4.50,13-Apr-16,002-3387262-1504246,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,$7.19,,-$7.19,
-$4.50,13-Apr-16,103-2077608-4477803,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$4.50,13-Apr-16,002-2775859-6889855,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$1.34,12-Apr-16,111-2314124-5179436,FV-XXFT-7P69,"Order Payment","Product charges",,$8.95,1,"My Little Pony Soft Tote Lunch Box",-$1.06,-$0.96,,,,-$1.00,,
-$4.50,12-Apr-16,113-1834041-2205844,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,$0.00,-$3.24,$3.24,,,
-$3.00,12-Apr-16,106-2626540-9573856,3G-5P9S-KWAT,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)",-$1.06,-$0.96,,,,-$1.00,,
-$4.50,12-Apr-16,112-8554539-7298658,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$12.00,12-Apr-16,105-0795528-6400223,3Y-2VGV-AZ21,"Order Payment","Product charges",,$79.98,2,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$8.18,-$8.02,,,,,,
-$6.00,12-Apr-16,116-1674871-5299462,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$3.75,12-Apr-16,114-0912233-1502657,7W-PCJO-3BVK,"Order Payment","Product charges",,$24.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",-$1.06,-$0.96,,,,-$1.00,,
-$3.30,12-Apr-16,102-1393247-8855457,0W-I967-F2HV,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",-$2.12,-$4.29,,,,-$1.00,,
-$4.50,12-Apr-16,111-8136600-2798613,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,12-Apr-16,106-1277920-0791462,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
,,,,,,,,,,-$0.75,,,,,-$4.75,,-$0.45
,,,,,,,,,,-$0.75,,,,,-$4.75,,-$0.45
-$7.05,12-Apr-16,114-0521579-9366606,IM-VFRS-GRIO,"Order Payment","Product charges",,$46.99,1,"Humanscale Zon Air Purifier in Red",-$4.09,-$8.69,,,,,,
-$9.00,12-Apr-16,111-5157799-1432206,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$8.18,-$7.24,,,,,,
-$1.50,12-Apr-16,106-1354958-4717803,70-FVIS-6TNP,"Order Payment","Product charges",,$9.99,1,"Anti Slip Bathtub Shower Mat - Assorted Colors (clear)",,,,,,,,
-$1.78,12-Apr-16,002-4001007-3336264,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",-$1.06,-$1.95,,,,-$1.00,,
-$6.00,12-Apr-16,114-3900731-0185801,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,$3.19,,-$3.19,
-$6.00,11-Apr-16,111-2304698-3005861,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$4.50,11-Apr-16,110-7856701-0748219,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,11-Apr-16,115-9452433-0197049,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,11-Apr-16,107-6113273-2977069,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,11-Apr-16,002-1630351-7490615,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$5.70,11-Apr-16,104-9594395-5654661,JE-0F9S-TM6N,"Order Payment","Product charges",,$37.98,2,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Red,)",-$2.12,-$1.92,,,,-$1.00,,
