ID,Event_Id,Game_Date_Time,Home_Team,Opponent,sport
1,9444778,7/8/16,4692,1062,MLB
2,9444779,7/9/16,4692,1062,MLB
3,9444780,7/10/16,4692,1062,MLB
4,9444781,8/18/16,4692,4782,MLB
5,9444782,8/19/16,4692,4782,MLB
6,9444783,8/20/16,4692,4782,MLB
7,9444784,8/21/16,4692,4782,MLB
8,9444785,5/6/16,4692,4,MLB
9,9444786,5/7/16,4692,4,MLB
10,9444787,5/8/16,4692,4,MLB
11,9444788,4/19/16,4692,7548,MLB
12,9444789,4/20/16,4692,7548,MLB
13,9444790,4/21/16,4692,7548,MLB
14,9444791,6/17/16,4692,7548,MLB
15,9444792,6/18/16,4692,7548,MLB
16,9444793,6/19/16,4692,7548,MLB
17,9444794,8/29/16,4692,7548,MLB
18,9444795,8/30/16,4692,7548,MLB
19,9444796,8/31/16,4692,7548,MLB
20,9444797,9/23/16,4692,68,MLB
21,9444798,9/24/16,4692,68,MLB
22,9444799,9/25/16,4692,68,MLB
23,9444800,7/22/16,4692,4882,MLB
24,9444801,7/23/16,4692,4882,MLB
25,9444802,7/24/16,4692,4882,MLB
26,9444803,5/17/16,4692,1043,MLB
27,9444804,5/18/16,4692,1043,MLB
28,9444805,5/19/16,4692,1043,MLB
29,9444806,8/22/16,4692,7547,MLB
30,9444807,8/23/16,4692,7547,MLB
31,9444808,6/21/16,4692,42,MLB
32,9444809,6/22/16,4692,42,MLB
33,9444810,8/2/16,4692,4343,MLB
34,9444811,8/3/16,4692,4343,MLB
35,9444812,8/4/16,4692,4343,MLB
36,9444813,4/8/16,4692,5652,MLB
37,9444814,4/9/16,4692,5652,MLB
38,9444815,4/10/16,4692,5652,MLB
39,9444816,6/24/16,4692,5652,MLB
40,9444817,6/25/16,4692,5652,MLB
41,9444818,6/26/16,4692,5652,MLB
42,9444819,9/15/16,4692,5652,MLB
43,9444820,9/16/16,4692,5652,MLB
44,9444821,9/17/16,4692,5652,MLB
45,9444822,9/18/16,4692,5652,MLB
46,9444823,5/30/16,4692,4322,MLB
47,9444824,5/31/16,4692,4322,MLB
48,9444825,6/1/16,4692,4322,MLB
49,9444826,6/2/16,4692,4322,MLB
50,9444827,8/16/16,4692,4322,MLB
51,9444828,8/17/16,4692,4322,MLB
52,9444829,9/19/16,4692,4322,MLB
53,9444830,9/20/16,4692,4322,MLB
54,9444831,9/21/16,4692,4322,MLB
55,9444832,9/22/16,4692,4322,MLB
56,9444833,7/25/16,4692,5646,MLB
57,9444834,7/26/16,4692,5646,MLB
58,9444835,7/27/16,4692,5646,MLB
59,9444836,6/6/16,4692,5647,MLB
60,9444837,6/7/16,4692,5647,MLB
61,9444838,6/8/16,4692,5647,MLB
62,9444839,5/12/16,4692,4182,MLB
63,9444840,5/13/16,4692,4182,MLB
64,9444841,5/14/16,4692,4182,MLB
65,9444842,5/15/16,4692,4182,MLB
66,9444843,4/4/16,4692,5648,MLB
67,9444844,4/6/16,4692,5648,MLB
68,9444845,4/7/16,4692,5648,MLB
69,9444846,4/28/16,4692,5645,MLB
70,9444847,4/29/16,4692,5645,MLB
71,9444848,4/30/16,4692,5645,MLB
72,9444849,5/1/16,4692,5645,MLB
73,9444850,5/3/16,4692,5650,MLB
74,9444851,5/4/16,4692,5650,MLB
75,9444852,5/5/16,4692,5650,MLB
76,9444853,6/3/16,4692,5650,MLB
77,9444854,6/4/16,4692,5650,MLB
78,9444855,6/5/16,4692,5650,MLB
79,9444856,9/2/16,4692,5650,MLB
80,9444857,9/3/16,4692,5650,MLB
81,9444858,9/4/16,4692,5650,MLB
82,9371107,4/8/16,2744,22,NBA
83,9371049,4/11/16,2744,26,NBA
84,9371084,3/12/16,2744,36,NBA
85,9371118,4/6/16,2744,3084,NBA
86,9371154,3/23/16,2744,12,NBA
87,9371125,3/16/16,2744,335486,NBA
88,9371129,3/21/16,2744,30,NBA
89,9371097,3/10/16,2744,38,NBA
90,9371102,4/14/16,2744,28,NBA
91,9341386,3/8/16,48,84,NHL
92,9341388,3/15/16,48,74,NHL
93,9341390,3/17/16,48,78,NHL
94,9341327,4/2/16,48,96,NHL
95,9341392,3/19/16,48,54,NHL
96,9341395,3/31/16,48,88,NHL
97,9341399,4/4/16,48,100,NHL
98,9341402,4/6/16,48,108,NHL
99,9444097,6/19/16,1061,5164,MLB
100,9444098,6/19/16,1061,5164,MLB
101,9444099,6/21/16,1061,7547,MLB
102,9444100,6/22/16,1061,7547,MLB
103,9444101,6/23/16,1061,7547,MLB
104,9444102,7/2/16,1061,5646,MLB
105,9444103,7/3/16,1061,5646,MLB
106,9444104,7/3/16,1061,5646,MLB
107,9444105,7/5/16,1061,4692,MLB
108,9444106,7/6/16,1061,4692,MLB
109,9444107,7/6/16,1061,4692,MLB
110,9444109,7/8/16,1061,42,MLB
111,9444111,7/9/16,1061,42,MLB
112,9444112,7/9/16,1061,42,MLB
113,9444114,7/10/16,1061,42,MLB
114,9444162,9/21/16,1061,2,MLB
115,9444117,7/27/16,1061,5652,MLB
116,9444119,7/27/16,1061,5652,MLB
117,9444121,7/30/16,1061,68,MLB
118,9444122,7/31/16,1061,68,MLB
119,9444123,7/31/16,1061,68,MLB
120,9444124,8/6/16,1061,4322,MLB
121,9444125,8/6/16,1061,4322,MLB
122,9444126,8/7/16,1061,4322,MLB
123,9444165,9/23/16,1061,5646,MLB
124,9444128,8/9/16,1061,4344,MLB
125,9444129,8/10/16,1061,4344,MLB
126,9444130,8/10/16,1061,4344,MLB
127,9444003,4/12/16,1061,68,MLB
128,9444132,8/13/16,1061,4802,MLB
129,9444005,4/15/16,1061,68,MLB
130,9444167,9/25/16,1061,5646,MLB
131,9444137,8/24/16,1061,2,MLB
132,9444139,8/25/16,1061,2,MLB
133,9444142,8/26/16,1061,2,MLB
134,9444163,9/22/16,1061,2,MLB
135,9444145,8/27/16,1061,5644,MLB
136,9444146,8/27/16,1061,5644,MLB
137,9444148,8/28/16,1061,5644,MLB
138,9444149,9/3/16,1061,42,MLB
139,9444150,9/4/16,1061,42,MLB
140,9444151,9/4/16,1061,42,MLB
141,9444154,9/6/16,1061,68,MLB
142,9444156,9/7/16,1061,68,MLB
143,9444158,9/8/16,1061,68,MLB
144,9444031,4/17/16,1061,2,MLB
145,9444032,4/18/16,1061,2,MLB
146,9444033,4/26/16,1061,4342,MLB
147,9444034,4/27/16,1061,4342,MLB
148,9444035,4/28/16,1061,4342,MLB
149,9444037,4/29/16,1061,4342,MLB
150,9444166,9/24/16,1061,5646,MLB
151,9444039,4/30/16,1061,42,MLB
152,9444168,9/25/16,1061,5646,MLB
153,9444041,5/1/16,1061,42,MLB
154,9444049,5/1/16,1061,42,MLB
155,9444131,8/13/16,1061,4802,MLB
156,9444004,4/14/16,1061,68,MLB
157,9444090,6/8/16,1061,5646,MLB
158,9444133,8/14/16,1061,4802,MLB
159,9444160,9/20/16,1061,2,MLB
160,9444091,6/9/16,1061,5646,MLB
161,9444069,5/10/16,1061,5649,MLB
162,9444071,5/11/16,1061,5649,MLB
163,9444072,5/12/16,1061,5649,MLB
164,9444073,5/13/16,1061,5649,MLB
165,9444074,5/14/16,1061,5651,MLB
166,9444075,5/15/16,1061,5651,MLB
167,9444076,5/16/16,1061,5651,MLB
168,9444077,5/17/16,1061,1062,MLB
169,9444078,5/18/16,1061,1062,MLB
170,9444079,5/24/16,1061,4862,MLB
171,9444080,5/25/16,1061,4862,MLB
172,9444081,5/26/16,1061,4862,MLB
173,9444082,6/4/16,1061,5643,MLB
174,9444083,6/5/16,1061,5643,MLB
175,9444084,6/5/16,1061,5643,MLB
176,9444030,4/16/16,1061,2,MLB
177,9444088,6/7/16,1061,5646,MLB
178,9458682,4/1/16,1061,1062,MLB
179,9458683,4/2/16,1061,1062,MLB
180,9444094,6/17/16,1061,5164,MLB
181,9444095,6/18/16,1061,5164,MLB
182,9371011,4/14/16,6,12,NBA
183,9371021,4/11/16,6,32,NBA
184,9370992,3/15/16,6,10,NBA
185,9370897,3/22/16,6,26,NBA
186,9370930,3/26/16,6,20,NBA
187,9370963,3/14/16,6,22,NBA
188,9370970,4/3/16,6,3084,NBA
189,9370907,3/24/16,6,16,NBA
190,9341313,3/17/16,50,80,NHL
191,9341316,3/21/16,50,102,NHL
192,9341318,3/23/16,50,100,NHL
193,9341321,4/3/16,50,54,NHL
194,9341323,4/6/16,50,86,NHL
195,9341326,4/8/16,50,106,NHL
196,9341308,3/6/16,50,58,NHL
197,9341310,3/15/16,50,92,NHL
198,9443585,7/22/16,7547,42,MLB
199,9443586,7/23/16,7547,42,MLB
200,9443588,7/24/16,7547,42,MLB
201,9443589,4/26/16,7547,4344,MLB
202,9443590,4/27/16,7547,4344,MLB
203,9443591,4/28/16,7547,4344,MLB
204,9443592,6/10/16,7547,4344,MLB
205,9443595,6/11/16,7547,4344,MLB
206,9443597,6/12/16,7547,4344,MLB
207,9443598,9/8/16,7547,4344,MLB
208,9443600,9/9/16,7547,4344,MLB
209,9443601,9/10/16,7547,4344,MLB
210,9443602,9/11/16,7547,4344,MLB
211,9443605,7/15/16,7547,4802,MLB
212,9443607,7/16/16,7547,4802,MLB
213,9443608,7/17/16,7547,4802,MLB
214,9443609,6/30/16,7547,4862,MLB
215,9443610,7/1/16,7547,4862,MLB
216,9443611,7/2/16,7547,4862,MLB
217,9443612,7/3/16,7547,4862,MLB
218,9443613,8/26/16,7547,5646,MLB
219,9443614,8/27/16,7547,5646,MLB
220,9443616,8/28/16,7547,5646,MLB
221,9443618,5/9/16,7547,4182,MLB
222,9443619,5/10/16,7547,4182,MLB
223,9443620,5/11/16,7547,4182,MLB
224,9443622,4/22/16,7547,5648,MLB
225,9443623,4/23/16,7547,5648,MLB
226,9443624,4/24/16,7547,5648,MLB
227,9443571,5/23/16,7547,5649,MLB
228,9517137,4/1/16,7547,5648,MLB
229,9443530,4/11/16,7547,5643,MLB
230,9443531,4/12/16,7547,5643,MLB
231,9443532,4/13/16,7547,5643,MLB
232,9443533,4/14/16,7547,5643,MLB
233,9443534,8/12/16,7547,5643,MLB
234,9443535,8/13/16,7547,5643,MLB
235,9443536,8/14/16,7547,5643,MLB
236,9443537,9/5/16,7547,5643,MLB
237,9443538,9/6/16,7547,5643,MLB
238,9443539,9/7/16,7547,5643,MLB
239,9443540,7/4/16,7547,5164,MLB
240,9443541,7/5/16,7547,5164,MLB
241,9443542,7/6/16,7547,5164,MLB
242,9443543,5/26/16,7547,5651,MLB
243,9443544,5/27/16,7547,5651,MLB
244,9443545,5/28/16,7547,5651,MLB
245,9443546,5/29/16,7547,5651,MLB
246,9443547,6/13/16,7547,5644,MLB
247,9443548,6/14/16,7547,5644,MLB
248,9443549,6/15/16,7547,5644,MLB
249,9443550,9/26/16,7547,68,MLB
250,9443551,9/27/16,7547,68,MLB
251,9443552,9/28/16,7547,68,MLB
252,9443553,9/29/16,7547,68,MLB
253,9443554,7/19/16,7547,1061,MLB
254,9443555,7/20/16,7547,1061,MLB
255,9443556,7/21/16,7547,1061,MLB
256,9443557,8/5/16,7547,2,MLB
257,9443558,8/6/16,7547,2,MLB
258,9443559,8/7/16,7547,2,MLB
259,9443560,8/9/16,7547,4882,MLB
260,9443561,8/10/16,7547,4882,MLB
261,9443562,4/7/16,7547,4342,MLB
262,9443563,4/9/16,7547,4342,MLB
263,9443564,4/10/16,7547,4342,MLB
264,9443565,5/13/16,7547,4342,MLB
265,9443566,5/14/16,7547,4342,MLB
266,9443567,5/15/16,7547,4342,MLB
267,9443568,9/30/16,7547,4342,MLB
268,9443569,10/1/16,7547,4342,MLB
269,9443570,10/2/16,7547,4342,MLB
270,9443581,9/14/16,7547,5649,MLB
271,9443573,5/24/16,7547,5649,MLB
272,9443574,5/25/16,7547,5649,MLB
273,9443575,6/27/16,7547,5649,MLB
274,9443576,6/28/16,7547,5649,MLB
275,9443577,6/29/16,7547,5649,MLB
276,9443579,9/12/16,7547,5649,MLB
277,9443580,9/13/16,7547,5649,MLB
278,9477866,4/2/16,7547,5648,MLB
279,9443582,8/24/16,7547,4692,MLB
280,9443583,8/25/16,7547,4692,MLB
281,9370785,3/24/16,8,14,NBA
282,9370788,3/26/16,8,16,NBA
283,9370777,4/1/16,8,6,NBA
284,9370852,4/10/16,8,12,NBA
285,9370810,4/3/16,8,20,NBA
286,9370779,4/6/16,8,26,NBA
287,9370846,3/20/16,8,46,NBA
288,9342340,3/9/16,52,64,NHL
289,9342342,3/22/16,52,56,NHL
290,9342347,3/26/16,52,76,NHL
291,9342350,3/27/16,52,74,NHL
292,9342352,3/31/16,52,78,NHL
293,9342354,4/2/16,52,72,NHL
294,9342356,4/7/16,52,62,NHL
295,9444483,4/23/16,68,4802,MLB
296,9444484,4/24/16,68,4802,MLB
297,9444485,4/24/16,68,4802,MLB
298,9444488,4/26/16,68,5651,MLB
299,9444489,4/27/16,68,5651,MLB
300,9444491,4/28/16,68,5651,MLB
301,9444492,4/29/16,68,5651,MLB
302,9444493,4/30/16,68,5646,MLB
303,9467920,4/2/16,68,5647,MLB
304,9444497,5/1/16,68,5646,MLB
305,9444498,5/1/16,68,5646,MLB
306,9444499,5/13/16,68,2,MLB
307,9444500,5/14/16,68,2,MLB
308,9444502,5/15/16,68,2,MLB
309,9444504,5/15/16,68,2,MLB
310,9444506,5/17/16,68,5650,MLB
311,9444507,5/18/16,68,5650,MLB
312,9444509,5/19/16,68,5650,MLB
313,9444511,5/28/16,68,42,MLB
314,9444512,5/29/16,68,42,MLB
315,9444513,5/29/16,68,42,MLB
316,9444514,5/30/16,68,4782,MLB
317,9444515,5/31/16,68,4782,MLB
318,9444516,6/7/16,68,5652,MLB
319,9444517,6/8/16,68,5652,MLB
320,9444518,6/8/16,68,5652,MLB
321,9444519,6/11/16,68,4342,MLB
322,9444520,6/12/16,68,4342,MLB
323,9444521,6/12/16,68,4342,MLB
324,9444522,6/14/16,68,1061,MLB
325,9444523,6/15/16,68,1061,MLB
326,9444524,6/15/16,68,1061,MLB
327,9444525,6/28/16,68,4344,MLB
328,9444526,6/29/16,68,4344,MLB
329,9444527,6/29/16,68,4344,MLB
330,9444529,7/2/16,68,2,MLB
331,9444530,7/3/16,68,2,MLB
332,9444531,7/3/16,68,2,MLB
333,9444532,7/5/16,68,42,MLB
334,9444533,7/6/16,68,42,MLB
335,9444534,7/7/16,68,42,MLB
336,9444535,7/16/16,68,1061,MLB
337,9444536,7/17/16,68,1061,MLB
338,9444537,7/17/16,68,1061,MLB
339,9444538,7/20/16,68,7548,MLB
340,9444539,7/20/16,68,7548,MLB
341,9444541,8/2/16,68,7547,MLB
342,9444542,8/3/16,68,7547,MLB
343,9444543,8/3/16,68,7547,MLB
344,9444544,8/6/16,68,5164,MLB
345,9444545,8/7/16,68,5164,MLB
346,9444546,8/7/16,68,5164,MLB
347,9444547,8/16/16,68,5649,MLB
348,9444548,8/17/16,68,5649,MLB
349,9444549,8/18/16,68,5649,MLB
350,9444550,8/23/16,68,5643,MLB
351,9444551,8/24/16,68,5643,MLB
352,9444552,8/25/16,68,5643,MLB
353,9444553,8/26/16,68,5643,MLB
354,9444554,8/27/16,68,4862,MLB
355,9444555,8/28/16,68,4862,MLB
356,9444556,8/28/16,68,4862,MLB
357,9444557,9/10/16,68,2,MLB
358,9444558,9/11/16,68,2,MLB
359,9444559,9/11/16,68,2,MLB
360,9444560,9/13/16,68,5646,MLB
361,9444561,9/14/16,68,5646,MLB
362,9444562,9/15/16,68,5646,MLB
363,9444564,9/16/16,68,1061,MLB
364,9444565,9/17/16,68,1061,MLB
365,9444566,9/18/16,68,1061,MLB
366,9444567,9/18/16,68,1061,MLB
367,9444568,10/1/16,68,42,MLB
368,9444569,10/2/16,68,42,MLB
369,9444570,10/2/16,68,42,MLB
370,9467921,4/2/16,68,5647,MLB
371,9444468,4/5/16,68,5646,MLB
372,9444469,4/6/16,68,5646,MLB
373,9444470,4/6/16,68,5646,MLB
374,9444473,4/8/16,68,5644,MLB
375,9444475,4/9/16,68,5644,MLB
376,9444477,4/10/16,68,5644,MLB
377,9444478,4/10/16,68,5644,MLB
378,9371329,3/13/16,10,18,NBA
379,9371427,3/17/16,10,32,NBA
380,9371302,3/29/16,10,26,NBA
381,9371369,4/10/16,10,22,NBA
382,9371338,3/10/16,10,36,NBA
383,9371376,4/5/16,10,3084,NBA
384,9371382,4/8/16,10,8,NBA
385,9371289,3/20/16,10,2744,NBA
386,9371386,3/18/16,10,335486,NBA
387,9371344,4/2/16,10,20,NBA
388,9371295,3/12/16,10,6,NBA
389,9341472,3/11/16,54,52,NHL
390,9341477,3/12/16,54,76,NHL
391,9341483,3/24/16,54,60,NHL
392,9341489,4/5/16,54,52,NHL
393,9341496,4/7/16,54,58,NHL
394,9341501,4/9/16,54,64,NHL
395,9444352,6/4/16,42,5646,MLB
396,9444353,6/5/16,42,5646,MLB
397,9444354,6/6/16,42,5646,MLB
398,9444355,6/7/16,42,5643,MLB
399,9444356,6/8/16,42,5643,MLB
400,9444357,6/8/16,42,5643,MLB
401,9444358,6/14/16,42,4342,MLB
402,9444359,6/15/16,42,4342,MLB
403,9444360,6/15/16,42,4342,MLB
404,9444361,6/17/16,42,7547,MLB
405,9444362,6/18/16,42,7547,MLB
406,9444363,6/19/16,42,7547,MLB
407,9444364,6/19/16,42,7547,MLB
408,9444365,6/29/16,42,4692,MLB
409,9444366,6/29/16,42,4692,MLB
410,9444367,7/2/16,42,5650,MLB
411,9444368,7/3/16,42,5650,MLB
412,9444369,7/3/16,42,5650,MLB
413,9444370,7/16/16,42,2,MLB
414,9444371,7/17/16,42,2,MLB
415,9444372,7/17/16,42,2,MLB
416,9444375,7/30/16,42,4862,MLB
417,9444376,7/31/16,42,4862,MLB
418,9444377,7/31/16,42,4862,MLB
419,9444378,8/2/16,42,5164,MLB
420,9444379,8/3/16,42,5164,MLB
421,9444411,9/7/16,42,4322,MLB
422,9444385,8/3/16,42,5164,MLB
423,9444389,8/6/16,42,4344,MLB
424,9444391,8/7/16,42,4344,MLB
425,9444392,8/7/16,42,4344,MLB
426,9444448,9/30/16,42,1061,MLB
427,9444395,8/19/16,42,68,MLB
428,9444396,8/20/16,42,68,MLB
429,9444398,8/21/16,42,68,MLB
430,9444399,8/21/16,42,68,MLB
431,9444401,8/23/16,42,5644,MLB
432,9444402,8/24/16,42,5644,MLB
433,9444406,8/24/16,42,5644,MLB
434,9444410,9/5/16,42,4322,MLB
435,9444447,9/29/16,42,1061,MLB
436,9461692,4/2/16,42,5645,MLB
437,9461693,4/2/16,42,5645,MLB
438,9444414,9/10/16,42,5646,MLB
439,9444416,9/11/16,42,5646,MLB
440,9444417,9/11/16,42,5646,MLB
441,9444427,9/20/16,42,68,MLB
442,9444428,9/21/16,42,68,MLB
443,9444430,9/22/16,42,68,MLB
444,9444433,9/23/16,42,2,MLB
445,9444434,9/24/16,42,2,MLB
446,9444435,9/25/16,42,2,MLB
447,9444438,9/25/16,42,2,MLB
448,9444311,4/4/16,42,1061,MLB
449,9444312,4/6/16,42,1061,MLB
450,9444313,4/7/16,42,1061,MLB
451,9444315,4/16/16,42,68,MLB
452,9444445,9/28/16,42,1061,MLB
453,9444318,4/17/16,42,68,MLB
454,9444319,4/17/16,42,68,MLB
455,9444320,4/20/16,42,4802,MLB
456,9444321,4/21/16,42,4802,MLB
457,9444322,4/22/16,42,4802,MLB
458,9444323,4/23/16,42,5651,MLB
459,9444324,4/24/16,42,5651,MLB
460,9444325,4/24/16,42,5651,MLB
461,9444327,5/3/16,42,5646,MLB
462,9444412,9/8/16,42,4322,MLB
463,9444334,5/4/16,42,5646,MLB
464,9444413,9/9/16,42,5646,MLB
465,9444339,5/4/16,42,5646,MLB
466,9444340,5/6/16,42,5649,MLB
467,9444341,5/7/16,42,5649,MLB
468,9444342,5/8/16,42,5649,MLB
469,9444343,5/8/16,42,5649,MLB
470,9444344,5/18/16,42,2,MLB
471,9444345,5/19/16,42,2,MLB
472,9444346,5/20/16,42,2,MLB
473,9444347,5/21/16,42,1061,MLB
474,9444348,5/22/16,42,1061,MLB
475,9444349,5/22/16,42,1061,MLB
476,9444350,6/2/16,42,1043,MLB
477,9444351,6/3/16,42,1043,MLB
478,9371185,3/11/16,12,24,NBA
479,9371187,3/30/16,12,24,NBA
480,9371192,3/18/16,12,2744,NBA
481,9371196,3/9/16,12,6,NBA
482,9371200,4/5/16,12,26,NBA
483,9371205,3/14/16,12,14,NBA
484,9371216,3/6/16,12,36,NBA
485,9371219,4/8/16,12,20,NBA
486,9371227,3/13/16,12,28,NBA
487,9371243,3/28/16,12,335486,NBA
488,9371246,3/20/16,12,30,NBA
489,9371249,4/12/16,12,10,NBA
490,9342178,3/18/16,56,64,NHL
491,9342180,3/26/16,56,108,NHL
492,9342184,3/31/16,56,70,NHL
493,9342187,4/8/16,56,72,NHL
494,9342168,3/9/16,56,78,NHL
495,9342171,3/12/16,56,52,NHL
496,9342174,3/16/16,56,62,NHL
497,9443457,5/8/16,7548,1061,MLB
498,9443460,6/30/16,7548,4882,MLB
499,9443461,7/1/16,7548,4882,MLB
500,9443463,7/2/16,7548,4882,MLB
501,9443464,7/3/16,7548,4882,MLB
502,9443467,7/22/16,7548,1043,MLB
503,9443468,7/23/16,7548,1043,MLB
504,9443469,7/24/16,7548,1043,MLB
505,9443470,6/9/16,7548,4692,MLB
506,9443471,6/10/16,7548,4692,MLB
507,9443472,6/11/16,7548,4692,MLB
508,9443473,6/12/16,7548,4692,MLB
509,9443474,7/29/16,7548,4692,MLB
510,9443475,7/30/16,7548,4692,MLB
511,9443476,7/31/16,7548,4692,MLB
512,9443477,9/27/16,7548,4692,MLB
513,9443478,9/28/16,7548,4692,MLB
514,9443479,9/29/16,7548,4692,MLB
515,9443480,7/25/16,7548,42,MLB
516,9443481,7/26/16,7548,42,MLB
517,9443482,7/27/16,7548,42,MLB
518,9443483,6/13/16,7548,4344,MLB
519,9443484,6/14/16,7548,4344,MLB
520,9443485,5/2/16,7548,4343,MLB
521,9443486,5/3/16,7548,4343,MLB
522,9443487,5/4/16,7548,4343,MLB
523,9443488,5/5/16,7548,4343,MLB
524,9443489,5/16/16,7548,5652,MLB
525,9443490,5/17/16,7548,5652,MLB
526,9443491,5/18/16,7548,5652,MLB
527,9443492,8/8/16,7548,5652,MLB
528,9443493,8/9/16,7548,5652,MLB
529,9443494,8/10/16,7548,5652,MLB
530,9443495,9/12/16,7548,5652,MLB
531,9443496,9/13/16,7548,5652,MLB
532,9443497,9/14/16,7548,5652,MLB
533,9443498,4/8/16,7548,4322,MLB
534,9443499,4/9/16,7548,4322,MLB
535,9443500,4/10/16,7548,4322,MLB
536,9443501,5/27/16,7548,4322,MLB
537,9443502,5/28/16,7548,4322,MLB
538,9443503,5/29/16,7548,4322,MLB
539,9443504,9/9/16,7548,4322,MLB
540,9443505,9/10/16,7548,4322,MLB
541,9443506,9/11/16,7548,4322,MLB
542,9443507,7/4/16,7548,5647,MLB
543,9443508,7/5/16,7548,5647,MLB
544,9443509,7/6/16,7548,5647,MLB
545,9443510,7/7/16,7548,4182,MLB
546,9443511,7/8/16,7548,4182,MLB
547,9443512,7/9/16,7548,4182,MLB
